Place 1;Place 2;Distance (km)
Carrathool Shire;Snowy Valleys Council;11970.29
Carrathool Shire;Strathfield, Municipality of;12966.08
Carrathool Shire;Sutherland Shire;12958.13
Carrathool Shire;Sydney, City of;4800.14
Carrathool Shire;Tamworth Regional Council;11970.29
Carrathool Shire;Temora Shire;0.0
Carrathool Shire;Tenterfield Shire;0.0
Carrathool Shire;Tweed Shire;13176.16
Carrathool Shire;Unincorporated Far West;11475.95
Carrathool Shire;Upper Hunter Shire;12967.61
Carrathool Shire;Upper Lachlan Shire;12811.59
Carrathool Shire;Uralla Shire;0.0
Carrathool Shire;Wagga Wagga, City of;12625.5
Carrathool Shire;Walcha Shire;0.0
Carrathool Shire;Walgett Shire;0.0
Carrathool Shire;Warren Shire;0.0
Carrathool Shire;Warrumbungle Shire;12812.37
Carrathool Shire;Waverley Council;11970.29
Carrathool Shire;Weddin Shire;0.0
Carrathool Shire;Wentworth Shire;0.0
Carrathool Shire;Willoughby, City of;12976.82
Carrathool Shire;Wingecarribee Shire;0.0
Carrathool Shire;Wollondilly Shire;0.0
Carrathool Shire;Wollongong, City of;12948.04
Carrathool Shire;Woollahra, Municipality of;4800.14
Carrathool Shire;Yass Valley Council;12760.18
Central Coast Council;Central Darling Shire;15670.9
Central Coast Council;Cessnock, City of;14970.51
Central Coast Council;Clarence Valley Council;14756.36
Central Coast Council;Cobar Shire;11970.29
Central Coast Council;Coffs Harbour, City of;7542.28
Central Coast Council;Coolamon Shire;15393.69
Central Coast Council;Coonamble Shire;11970.29
Central Coast Council;Cootamundra-Gundagai Regional Council;15310.12
Central Coast Council;Cowra Shire;11970.29
Central Coast Council;Cumberland City Council;798.0
Central Coast Council;Dubbo Regional Council;15208.04
Central Coast Council;Dungog Shire;11970.29
Central Coast Council;Edward River Council;0.0
Central Coast Council;Eurobodalla Shire;15163.33
Central Coast Council;Fairfield, City of;7542.28
Central Coast Council;Federation Council;0.0
Central Coast Council;Forbes Shire;11970.29
Central Coast Council;Georges River Council;0.0
Central Coast Council;Gilgandra Shire;15185.89
Central Coast Council;Glen Innes Severn Council;14835.99
Central Coast Council;Goulburn Mulwaree Council;15156.63
Central Coast Council;Greater Hume Shire;15403.95
Central Coast Council;Griffith, City of;7542.28
Central Coast Council;Gunnedah Shire;11970.29
Central Coast Council;Gwydir Shire;11970.29
Central Coast Council;Hawkesbury, City of;7542.28
Central Coast Council;Hay Shire;11970.29
Central Coast Council;Hills Shire, The;15023.21
Central Coast Council;Hilltops Council;0.0
Central Coast Council;Hornsby Shire;11970.29
Central Coast Council;Hunter's Hill, Municipality of;941.32
Central Coast Council;Inner West Council;0.0
Central Coast Council;Inverell Shire;11970.29
Central Coast Council;Junee Shire;11970.29
Central Coast Council;Kempsey Shire;14815.95
Central Coast Council;Kiama, Municipality of;7542.28
Central Coast Council;Ku-ring-gai Council;0.0
Central Coast Council;Kyogle Council;0.0
Central Coast Council;Lachlan Shire;11970.29
Central Coast Council;Lake Macquarie, City of;7542.28
Central Coast Council;Lane Cove, Municipality of;7542.28
Central Coast Council;Leeton Shire;11970.29
Central Coast Council;Lismore, City of;7542.28
Central Coast Council;Lithgow, City of;7542.28
Central Coast Council;Liverpool, City of;7542.28
Central Coast Council;Liverpool Plains Shire;11970.29
Central Coast Council;Lockhart Shire;11970.29
Central Coast Council;Lord Howe Island;14230.54
Central Coast Council;Maitland, City of;7542.28
Central Coast Council;Mid-Coast Council;0.0
Central Coast Council;Mid-Western Regional;15113.35
Central Coast Council;Moree Plains Shire;15031.21
Central Coast Council;Mosman Council;15003.36
Central Coast Council;Murray River Council;0.0
Central Coast Council;Murrumbidgee Council;15532.86
Central Coast Council;Muswellbrook Shire;11970.29
Central Coast Council;Nambucca Shire;14781.56
Central Coast Council;Narrandera Shire;11970.29
Central Coast Council;Narrabri Shire;11970.29
Central Coast Council;Narromine Shire;11970.29
Central Coast Council;Newcastle, City of;14933.48
Central Coast Council;Northern Beaches Council;0.0
Central Coast Council;North Sydney Council;0.0
Central Coast Council;Oberon Shire;11970.29
Central Coast Council;Orange, City of;1353.76
Central Coast Council;Parkes Shire;11970.29
Central Coast Council;Parramatta Council, City of;15024.4
Central Coast Council;Penrith, City of;7542.28
Central Coast Council;Port Macquarie-Hastings Council;14822.6
Central Coast Council;Port Stephens Council;0.0
Central Coast Council;Queanbeyan-Palerang Regional Council;13502.98
Central Coast Council;Randwick, City of;15005.09
Central Coast Council;Richmond Valley Council;0.0
Central Coast Council;Ryde, City of;15014.67
Central Coast Council;Singleton Council;0.0
Central Coast Council;Shellharbour, City of;15053.15
Central Coast Council;Shoalhaven, City of;7542.28
Central Coast Council;Snowy Monaro Regional Council;15261.86
Central Coast Council;Snowy Valleys Council;0.0
Central Coast Council;Strathfield, Municipality of;15018.78
Central Coast Council;Sutherland Shire;15030.68
Central Coast Council;Sydney, City of;7542.28
Central Coast Council;Tamworth Regional Council;0.0
Central Coast Council;Temora Shire;11970.29
Central Coast Council;Tenterfield Shire;11970.29
Central Coast Council;Tweed Shire;14660.58
Central Coast Council;Unincorporated Far West;834.7
Central Coast Council;Upper Hunter Shire;14970.42
Central Coast Council;Upper Lachlan Shire;15180.34
Central Coast Council;Uralla Shire;11970.29
Central Coast Council;Wagga Wagga, City of;15378.39
Central Coast Council;Walcha Shire;11970.29
Central Coast Council;Walgett Shire;11970.29
Central Coast Council;Warren Shire;11970.29
Central Coast Council;Warrumbungle Shire;15109.75
Central Coast Council;Waverley Council;0.0
Central Coast Council;Weddin Shire;11970.29
Central Coast Council;Wentworth Shire;11970.29
Central Coast Council;Willoughby, City of;15006.69
Central Coast Council;Wingecarribee Shire;11970.29
Central Coast Council;Wollondilly Shire;11970.29
Central Coast Council;Wollongong, City of;15047.49
Central Coast Council;Woollahra, Municipality of;7542.28
Central Coast Council;Yass Valley Council;15243.1
Central Darling Shire;Cessnock, City of;748.72
Central Darling Shire;Clarence Valley Council;914.69
Central Darling Shire;Cobar Shire;12248.28
Central Darling Shire;Coffs Harbour, City of;15783.58
Central Darling Shire;Coolamon Shire;467.94
Central Darling Shire;Coonamble Shire;12248.28
Central Darling Shire;Cootamundra-Gundagai Regional Council;530.13
Central Darling Shire;Cowra Shire;12248.28
Central Darling Shire;Cumberland City Council;15332.51
Central Darling Shire;Dubbo Regional Council;486.2
Central Darling Shire;Dungog Shire;12248.28
Central Darling Shire;Edward River Council;15670.9
Central Darling Shire;Eurobodalla Shire;755.9
Central Darling Shire;Fairfield, City of;15783.58
Central Darling Shire;Federation Council;15670.9
Central Darling Shire;Forbes Shire;12248.28
Central Darling Shire;Georges River Council;15670.9
Central Darling Shire;Gilgandra Shire;492.63
Central Darling Shire;Glen Innes Severn Council;835.76
Central Darling Shire;Goulburn Mulwaree Council;681.18
Central Darling Shire;Greater Hume Shire;559.85
Central Darling Shire;Griffith, City of;15783.58
Central Darling Shire;Gunnedah Shire;12248.28
Central Darling Shire;Gwydir Shire;12248.28
Central Darling Shire;Hawkesbury, City of;15783.58
Central Darling Shire;Hay Shire;12248.28
Central Darling Shire;Hills Shire, The;737.46
Central Darling Shire;Hilltops Council;15670.9
Central Darling Shire;Hornsby Shire;12248.28
Central Darling Shire;Hunter's Hill, Municipality of;15651.13
Central Darling Shire;Inner West Council;15670.9
Central Darling Shire;Inverell Shire;12248.28
Central Darling Shire;Junee Shire;12248.28
Central Darling Shire;Kempsey Shire;860.72
Central Darling Shire;Kiama, Municipality of;15783.58
Central Darling Shire;Ku-ring-gai Council;15670.9
Central Darling Shire;Kyogle Council;15670.9
Central Darling Shire;Lachlan Shire;12248.28
Central Darling Shire;Lake Macquarie, City of;15783.58
Central Darling Shire;Lane Cove, Municipality of;15783.58
Central Darling Shire;Leeton Shire;12248.28
Central Darling Shire;Lismore, City of;15783.58
Central Darling Shire;Lithgow, City of;15783.58
Central Darling Shire;Liverpool, City of;15783.58
Central Darling Shire;Liverpool Plains Shire;12248.28
Central Darling Shire;Lockhart Shire;12248.28
Central Darling Shire;Lord Howe Island;1475.43
Central Darling Shire;Maitland, City of;15783.58
Central Darling Shire;Mid-Coast Council;15670.9
Central Darling Shire;Mid-Western Regional;595.2
Central Darling Shire;Moree Plains Shire;655.58
Central Darling Shire;Mosman Council;760.43
Central Darling Shire;Murray River Council;15670.9
Central Darling Shire;Murrumbidgee Council;375.95
Central Darling Shire;Muswellbrook Shire;12248.28
Central Darling Shire;Nambucca Shire;893.11
Central Darling Shire;Narrandera Shire;12248.28
Central Darling Shire;Narrabri Shire;12248.28
Central Darling Shire;Narromine Shire;12248.28
Central Darling Shire;Newcastle, City of;790.0
Central Darling Shire;Northern Beaches Council;15670.9
Central Darling Shire;North Sydney Council;15670.9
Central Darling Shire;Oberon Shire;12248.28
Central Darling Shire;Orange, City of;16517.84
Central Darling Shire;Parkes Shire;12248.28
Central Darling Shire;Parramatta Council, City of;738.96
Central Darling Shire;Penrith, City of;15783.58
Central Darling Shire;Port Macquarie-Hastings Council;860.98
Central Darling Shire;Port Stephens Council;15670.9
Central Darling Shire;Queanbeyan-Palerang Regional Council;2787.57
Central Darling Shire;Randwick, City of;762.95
Central Darling Shire;Richmond Valley Council;15670.9
Central Darling Shire;Ryde, City of;748.41
Central Darling Shire;Singleton Council;15670.9
Central Darling Shire;Shellharbour, City of;754.74
Central Darling Shire;Shoalhaven, City of;15783.58
Central Darling Shire;Snowy Monaro Regional Council;718.59
Central Darling Shire;Snowy Valleys Council;15670.9
Central Darling Shire;Strathfield, Municipality of;747.97
Central Darling Shire;Sutherland Shire;747.1
Central Darling Shire;Sydney, City of;15783.58
Central Darling Shire;Tamworth Regional Council;15670.9
Central Darling Shire;Temora Shire;12248.28
Central Darling Shire;Tenterfield Shire;12248.28
Central Darling Shire;Tweed Shire;1019.46
Central Darling Shire;Unincorporated Far West;15898.39
Central Darling Shire;Upper Hunter Shire;719.5
Central Darling Shire;Upper Lachlan Shire;622.77
Central Darling Shire;Uralla Shire;12248.28
Central Darling Shire;Wagga Wagga, City of;517.56
Central Darling Shire;Walcha Shire;12248.28
Central Darling Shire;Walgett Shire;12248.28
Central Darling Shire;Warren Shire;12248.28
Central Darling Shire;Warrumbungle Shire;567.57
Central Darling Shire;Waverley Council;15670.9
Central Darling Shire;Weddin Shire;12248.28
Central Darling Shire;Wentworth Shire;12248.28
Central Darling Shire;Willoughby, City of;755.97
Central Darling Shire;Wingecarribee Shire;12248.28
Central Darling Shire;Wollondilly Shire;12248.28
Central Darling Shire;Wollongong, City of;751.01
Central Darling Shire;Woollahra, Municipality of;15783.58
Central Darling Shire;Yass Valley Council;613.29
Cessnock, City of;Clarence Valley Council;371.3
Cessnock, City of;Cobar Shire;12991.5
Cessnock, City of;Coffs Harbour, City of;16408.62
Cessnock, City of;Coolamon Shire;442.53
Cessnock, City of;Coonamble Shire;12991.5
Cessnock, City of;Cootamundra-Gundagai Regional Council;367.15
Cessnock, City of;Cowra Shire;12991.5
Cessnock, City of;Cumberland City Council;14686.09
Cessnock, City of;Dubbo Regional Council;265.02
Cessnock, City of;Dungog Shire;12991.5
Cessnock, City of;Edward River Council;14970.51
Cessnock, City of;Eurobodalla Shire;372.31
Cessnock, City of;Fairfield, City of;16408.62
Cessnock, City of;Federation Council;14970.51
Cessnock, City of;Forbes Shire;12991.5
Cessnock, City of;Georges River Council;14970.51
Cessnock, City of;Gilgandra Shire;283.55
Cessnock, City of;Glen Innes Severn Council;350.58
Cessnock, City of;Goulburn Mulwaree Council;271.56
Cessnock, City of;Greater Hume Shire;501.43
Cessnock, City of;Griffith, City of;16408.62
Cessnock, City of;Gunnedah Shire;12991.5
Cessnock, City of;Gwydir Shire;12991.5
Cessnock, City of;Hawkesbury, City of;16408.62
Cessnock, City of;Hay Shire;12991.5
Cessnock, City of;Hills Shire, The;108.34
Cessnock, City of;Hilltops Council;14970.51
Cessnock, City of;Hornsby Shire;12991.5
Cessnock, City of;Hunter's Hill, Municipality of;15025.72
Cessnock, City of;Inner West Council;14970.51
Cessnock, City of;Inverell Shire;12991.5
Cessnock, City of;Junee Shire;12991.5
Cessnock, City of;Kempsey Shire;236.21
Cessnock, City of;Kiama, Municipality of;16408.62
Cessnock, City of;Ku-ring-gai Council;14970.51
Cessnock, City of;Kyogle Council;14970.51
Cessnock, City of;Lachlan Shire;12991.5
Cessnock, City of;Lake Macquarie, City of;16408.62
Cessnock, City of;Lane Cove, Municipality of;16408.62
Cessnock, City of;Leeton Shire;12991.5
Cessnock, City of;Lismore, City of;16408.62
Cessnock, City of;Lithgow, City of;16408.62
Cessnock, City of;Liverpool, City of;16408.62
Cessnock, City of;Liverpool Plains Shire;12991.5
Cessnock, City of;Lockhart Shire;12991.5
Cessnock, City of;Lord Howe Island;741.2
Cessnock, City of;Maitland, City of;16408.62
Cessnock, City of;Mid-Coast Council;14970.51
Cessnock, City of;Mid-Western Regional;153.62
Cessnock, City of;Moree Plains Shire;436.08
Cessnock, City of;Mosman Council;111.45
Cessnock, City of;Murray River Council;14970.51
Cessnock, City of;Murrumbidgee Council;571.86
Cessnock, City of;Muswellbrook Shire;12991.5
Cessnock, City of;Nambucca Shire;273.7
Cessnock, City of;Narrandera Shire;12991.5
Cessnock, City of;Narrabri Shire;12991.5
Cessnock, City of;Narromine Shire;12991.5
Cessnock, City of;Newcastle, City of;41.66
Cessnock, City of;Northern Beaches Council;14970.51
Cessnock, City of;North Sydney Council;14970.51
Cessnock, City of;Oberon Shire;12991.5
Cessnock, City of;Orange, City of;15909.2
Cessnock, City of;Parkes Shire;12991.5
Cessnock, City of;Parramatta Council, City of;113.88
Cessnock, City of;Penrith, City of;16408.62
Cessnock, City of;Port Macquarie-Hastings Council;195.53
Cessnock, City of;Port Stephens Council;14970.51
Cessnock, City of;Queanbeyan-Palerang Regional Council;2131.4
Cessnock, City of;Randwick, City of;120.48
Cessnock, City of;Richmond Valley Council;14970.51
Cessnock, City of;Ryde, City of;111.26
Cessnock, City of;Singleton Council;14970.51
Cessnock, City of;Shellharbour, City of;199.33
Cessnock, City of;Shoalhaven, City of;16408.62
Cessnock, City of;Snowy Monaro Regional Council;458.11
Cessnock, City of;Snowy Valleys Council;14970.51
Cessnock, City of;Strathfield, Municipality of;119.34
Cessnock, City of;Sutherland Shire;142.6
Cessnock, City of;Sydney, City of;16408.62
Cessnock, City of;Tamworth Regional Council;14970.51
Cessnock, City of;Temora Shire;12991.5
Cessnock, City of;Tenterfield Shire;12991.5
Cessnock, City of;Tweed Shire;531.59
Cessnock, City of;Unincorporated Far West;15260.69
Cessnock, City of;Upper Hunter Shire;106.45
Cessnock, City of;Upper Lachlan Shire;247.53
Cessnock, City of;Uralla Shire;12991.5
Cessnock, City of;Wagga Wagga, City of;446.71
Cessnock, City of;Walcha Shire;12991.5
Cessnock, City of;Walgett Shire;12991.5
Cessnock, City of;Warren Shire;12991.5
Cessnock, City of;Warrumbungle Shire;233.56
Cessnock, City of;Waverley Council;14970.51
Cessnock, City of;Weddin Shire;12991.5
Cessnock, City of;Wentworth Shire;12991.5
Cessnock, City of;Willoughby, City of;109.34
Cessnock, City of;Wingecarribee Shire;12991.5
Cessnock, City of;Wollondilly Shire;12991.5
Cessnock, City of;Wollongong, City of;182.53
Cessnock, City of;Woollahra, Municipality of;16408.62
Cessnock, City of;Yass Valley Council;333.49
Clarence Valley Council;Cobar Shire;13123.28
Clarence Valley Council;Coffs Harbour, City of;16257.19
Clarence Valley Council;Coolamon Shire;765.82
Clarence Valley Council;Coonamble Shire;13123.28
Clarence Valley Council;Cootamundra-Gundagai Regional Council;705.38
Clarence Valley Council;Cowra Shire;13123.28
Clarence Valley Council;Cumberland City Council;14427.3
Clarence Valley Council;Dubbo Regional Council;485.58
Clarence Valley Council;Dungog Shire;13123.28
Clarence Valley Council;Edward River Council;14756.36
Clarence Valley Council;Eurobodalla Shire;743.57
Clarence Valley Council;Fairfield, City of;16257.19
Clarence Valley Council;Federation Council;14756.36
Clarence Valley Council;Forbes Shire;13123.28
Clarence Valley Council;Georges River Council;14756.36
Clarence Valley Council;Gilgandra Shire;443.59
Clarence Valley Council;Glen Innes Severn Council;82.77
Clarence Valley Council;Goulburn Mulwaree Council;640.34
Clarence Valley Council;Greater Hume Shire;848.98
Clarence Valley Council;Griffith, City of;16257.19
Clarence Valley Council;Gunnedah Shire;13123.28
Clarence Valley Council;Gwydir Shire;13123.28
Clarence Valley Council;Hawkesbury, City of;16257.19
Clarence Valley Council;Hay Shire;13123.28
Clarence Valley Council;Hills Shire, The;479.4
Clarence Valley Council;Hilltops Council;14756.36
Clarence Valley Council;Hornsby Shire;13123.28
Clarence Valley Council;Hunter's Hill, Municipality of;14754.36
Clarence Valley Council;Inner West Council;14756.36
Clarence Valley Council;Inverell Shire;13123.28
Clarence Valley Council;Junee Shire;13123.28
Clarence Valley Council;Kempsey Shire;138.81
Clarence Valley Council;Kiama, Municipality of;16257.19
Clarence Valley Council;Ku-ring-gai Council;14756.36
Clarence Valley Council;Kyogle Council;14756.36
Clarence Valley Council;Lachlan Shire;13123.28
Clarence Valley Council;Lake Macquarie, City of;16257.19
